date,cases,new_cases,deaths,new_deaths,date_id,date_text
2020-01-22,1,1,0,0,1,Jan 22
2020-01-23,1,0,0,0,2,Jan 23
2020-01-24,2,1,0,0,3,Jan 24
2020-01-25,2,0,0,0,4,Jan 25
2020-01-26,5,3,0,0,5,Jan 26
2020-01-27,6,1,0,0,6,Jan 27
2020-01-28,6,0,0,0,7,Jan 28
2020-01-29,7,1,0,0,8,Jan 29
2020-01-30,7,0,0,0,9,Jan 30
2020-01-31,8,1,0,0,10,Jan 31
2020-02-01,9,1,0,0,11,Feb 01
2020-02-02,9,0,0,0,12,Feb 02
2020-02-03,11,2,0,0,13,Feb 03
2020-02-04,11,0,0,0,14,Feb 04
2020-02-05,11,0,0,0,15,Feb 05
2020-02-06,11,0,1,1,16,Feb 06
2020-02-07,11,0,1,0,17,Feb 07
2020-02-08,11,0,1,0,18,Feb 08
2020-02-09,11,0,1,0,19,Feb 09
2020-02-10,11,0,1,0,20,Feb 10
2020-02-11,12,1,1,0,21,Feb 11
2020-02-12,12,0,1,0,22,Feb 12
2020-02-13,13,1,1,0,23,Feb 13
2020-02-14,13,0,1,0,24,Feb 14
2020-02-15,13,0,1,0,25,Feb 15
2020-02-16,13,0,1,0,26,Feb 16
2020-02-17,13,0,2,1,27,Feb 17
2020-02-18,14,1,2,0,28,Feb 18
2020-02-19,14,0,2,0,29,Feb 19
2020-02-20,14,0,2,0,30,Feb 20
2020-02-21,17,3,2,0,31,Feb 21
2020-02-22,17,0,2,0,32,Feb 22
2020-02-23,17,0,2,0,33,Feb 23
2020-02-24,18,1,2,0,34,Feb 24
2020-02-25,18,0,2,0,35,Feb 25
2020-02-26,20,2,2,0,36,Feb 26
2020-02-27,21,1,2,0,37,Feb 27
2020-02-28,23,2,2,0,38,Feb 28
2020-02-29,34,11,3,1,39,Feb 29
2020-03-01,40,6,3,0,40,Mar 01
2020-03-02,62,22,8,5,41,Mar 02
2020-03-03,81,19,9,1,42,Mar 03
2020-03-04,116,35,13,4,43,Mar 04
2020-03-05,182,66,14,1,44,Mar 05
2020-03-06,231,49,19,5,45,Mar 06
2020-03-07,376,145,22,3,46,Mar 07
2020-03-08,492,116,25,3,47,Mar 08
2020-03-09,751,259,31,6,48,Mar 09
2020-03-10,1036,285,34,3,49,Mar 10
2020-03-11,1318,282,40,6,50,Mar 11
2020-03-12,1715,397,44,4,51,Mar 12
2020-03-13,2316,601,51,7,52,Mar 13
2020-03-14,2968,652,61,10,53,Mar 14
2020-03-15,3769,801,68,7,54,Mar 15
2020-03-16,4731,962,100,32,55,Mar 16
2020-03-17,6302,1571,119,19,56,Mar 17
2020-03-18,9214,2912,161,42,57,Mar 18
2020-03-19,14236,5022,222,61,58,Mar 19
2020-03-20,19152,4916,263,41,59,Mar 20
2020-03-21,26469,7317,345,82,60,Mar 21
2020-03-22,33756,7287,445,100,61,Mar 22
2020-03-23,43869,10113,586,141,62,Mar 23
2020-03-24,53888,10019,799,213,63,Mar 24
2020-03-25,68586,14698,1082,283,64,Mar 25
2020-03-26,85075,16489,1385,303,65,Mar 26
2020-03-27,102595,17520,1783,398,66,Mar 27
2020-03-28,122987,20392,2333,550,67,Mar 28
2020-03-29,141754,18767,2756,423,68,Mar 29
2020-03-30,163705,21951,3402,646,69,Mar 30
2020-03-31,186750,23045,4339,937,70,Mar 31
2020-04-01,213136,26386,5384,1045,71,Apr 01
2020-04-02,241856,28720,6653,1269,72,Apr 02
2020-04-03,277060,35204,8000,1347,73,Apr 03
2020-04-04,310740,33680,9389,1389,74,Apr 04
2020-04-05,335452,24712,10891,1502,75,Apr 05
2020-04-06,365306,29854,12437,1546,76,Apr 06
2020-04-07,395590,30284,14598,2161,77,Apr 07
2020-04-08,428204,32614,16679,2081,78,Apr 08
2020-04-09,462049,33845,18658,1979,79,Apr 09
2020-04-10,495196,33147,21158,2500,80,Apr 10
2020-04-11,526272,31076,22908,1750,81,Apr 11
2020-04-12,553526,27254,24589,1681,82,Apr 12
2020-04-13,578455,24929,25718,1129,83,Apr 13
2020-04-14,603829,25374,28871,3153,84,Apr 14
2020-04-15,633949,30120,31317,2446,85,Apr 15
2020-04-16,666499,32550,33579,2262,86,Apr 16
2020-04-17,697434,30935,35557,1978,87,Apr 17
2020-04-18,725173,27739,37063,1506,88,Apr 18
2020-04-19,750294,25121,39586,2523,89,Apr 19
2020-04-20,776787,26493,41404,1818,90,Apr 20
2020-04-21,802274,25487,44161,2757,91,Apr 21
2020-04-22,831049,28775,46196,2035,92,Apr 22
2020-04-23,862704,31655,48011,1815,93,Apr 23
2020-04-24,900097,37393,50698,2687,94,Apr 24
2020-04-25,934065,33968,52668,1970,95,Apr 25
2020-04-26,959548,25483,53803,1135,96,Apr 26
2020-04-27,982311,22763,55185,1382,97,Apr 27
2020-04-28,1006417,24106,57433,2248,98,Apr 28
2020-04-29,1034338,27921,60025,2592,99,Apr 29
2020-04-30,1063314,28976,62144,2119,100,Apr 30
2020-05-01,1096406,33092,63957,1813,101,May 01
2020-05-02,1126378,29972,65528,1571,102,May 02
2020-05-03,1151544,25166,66909,1381,103,May 03
2020-05-04,1173202,21658,67904,995,104,May 04
2020-05-05,1197324,24122,70382,2478,105,May 05
2020-05-06,1220975,23651,72977,2595,106,May 06
2020-05-07,1248587,27612,75017,2040,107,May 07
2020-05-08,1275974,27387,76683,1666,108,May 08
2020-05-09,1301552,25578,78193,1510,109,May 09
2020-05-10,1321677,20125,79066,873,110,May 10
2020-05-11,1339458,17781,80006,940,111,May 11
2020-05-12,1360931,21473,81659,1653,112,May 12
2020-05-13,1381593,20662,83367,1708,113,May 13
2020-05-14,1408360,26767,85150,1783,114,May 14
2020-05-15,1433267,24907,86622,1472,115,May 15
