id	rate	county_name
01001	10	Autauga County
01003	28	Baldwin County
01005	6	Barbour County
01007	4	Bibb County
01009	7	Blount County
01011	5	Bullock County
01013	8	Butler County
01015	12	Calhoun County
01017	9	Chambers County
01019	3	Cherokee County
01021	7	Chilton County
01023	3	Choctaw County
01025	5	Clarke County
01027	2	Clay County
01029	1	Cleburne County
01031	7	Coffee County
01033	9	Colbert County
01035	4	Conecuh County
01037	1	Coosa County
01039	8	Covington County
01041	3	Crenshaw County
01043	10	Cullman County
01045	7	Dale County
01047	13	Dallas County
01049	16	DeKalb County
01051	15	Elmore County
01053	9	Escambia County
01055	17	Etowah County
01057	2	Fayette County
01059	11	Franklin County
01061	2	Geneva County
01063	3	Greene County
01065	5	Hale County
01067	3	Henry County
01069	12	Houston County
01071	7	Jackson County
01073	105	Jefferson County
01075	2	Lamar County
01077	9	Lauderdale County
01079	3	Lawrence County
01081	24	Lee County
01083	11	Limestone County
01085	6	Lowndes County
01087	3	Macon County
01089	44	Madison County
01091	5	Marengo County
01093	5	Marion County
01095	28	Marshall County
01097	73	Mobile County
01099	5	Monroe County
01101	58	Montgomery County
01103	20	Morgan County
01105	5	Perry County
01107	4	Pickens County
01109	7	Pike County
01111	4	Randolph County
01113	11	Russell County
01115	11	St. Clair County
01117	28	Shelby County
01119	4	Sumter County
01121	9	Talladega County
01123	9	Tallapoosa County
01125	36	Tuscaloosa County
01127	14	Walker County
01129	3	Washington County
01131	4	Wilcox County
01133	4	Winston County
02013	1	Aleutians East Borough
02016	1	Aleutians West Census Area
02020	14	Municipality of Anchorage
02050	1	Bethel Census Area
02060	0	Bristol Bay Borough
02068	1	Denali Borough
02070	0	Dillingham Census Area
02090	4	Fairbanks North Star Borough
02100	1	Haines Borough
02105	1	Hoonah-Angoon Census Area
02110	1	City and Borough of Juneau
02122	3	Kenai Peninsula Borough
02130	1	Ketchikan Gateway Borough
02150	1	Kodiak Island Borough
02158	1	Kusilvak Census Area
02164	1	Lake and Peninsula Borough
02170	3	Matanuska-Susitna Borough
02180	1	Nome Census Area
02185	1	North Slope Borough
02188	1	Northwest Arctic Borough
02195	1	Petersburg Census Area
02198	1	Prince of Wales-Hyder Census Area
02220	1	Sitka City and Borough
02230	0	Skagway Municipality
02240	1	Southeast Fairbanks Census Area
02261	1	Valdez-Cordova Census Area
02270	0	Wade Hampton Census Area
02275	1	Wrangell City and Borough
02282	0	Yakutat City and Borough
02290	1	Yukon-Koyukuk Census Area
04001	30	Apache County
04003	14	Cochise County
04005	29	Coconino County
04007	8	Gila County
04009	4	Graham County
04011	1	Greenlee County
04012	5	La Paz County
04013	1087	Maricopa County
04015	27	Mohave County
04017	51	Navajo County
04019	150	Pima County
04021	75	Pinal County
04023	26	Santa Cruz County
04025	16	Yavapai County
04027	103	Yuma County
05001	2	Arkansas County
05003	2	Ashley County
05005	1	Baxter County
05007	43	Benton County
05009	2	Boone County
05011	2	Bradley County
05013	1	Calhoun County
05015	4	Carroll County
05017	4	Chicot County
05019	2	Clark County
05021	2	Clay County
05023	2	Cleburne County
05025	1	Cleveland County
05027	2	Columbia County
05029	2	Conway County
05031	10	Craighead County
05033	5	Crawford County
05035	11	Crittenden County
05037	2	Cross County
05039	1	Dallas County
05041	2	Desha County
05043	2	Drew County
05045	11	Faulkner County
05047	1	Franklin County
